State,County,Year,RiskDays,PM25_Avg,Hosp_Count
Indiana,Allen,2010,231,13.8271655,817
Indiana,Delaware,2010,79,12.787387,339
Indiana,Lake,2010,280,13.3878872,336
Indiana,Marion,2010,263,14.36250625,1848
Indiana,Monroe,2010,142,11.7592385,183
Indiana,St. Joseph,2010,193,12.536489333333334,245
Indiana,Tippecanoe,2010,189,12.483789,449
Indiana,Vanderburgh,2010,235,13.0374892,784
Indiana,Allen,2011,164,11.222312500000001,927
Indiana,Delaware,2011,70,10.991964,407
Indiana,Lake,2011,214,11.911575000000001,376
Indiana,Marion,2011,295,13.8012974,1968
Indiana,Monroe,2011,120,10.573574,227
Indiana,St. Joseph,2011,170,11.380861,257
Indiana,Tippecanoe,2011,169,11.082208,378
Indiana,Vanderburgh,2011,162,12.5109275,1019
Indiana,Allen,2012,228,12.000703999999999,967
Indiana,Delaware,2012,89,9.868908,438
Indiana,Lake,2012,217,11.382456666666666,335
Indiana,Marion,2012,278,11.982108444444444,2096
Indiana,Monroe,2012,54,8.642471500000001,258
Indiana,St. Joseph,2012,190,11.027030333333332,236
Indiana,Tippecanoe,2012,225,11.08567425,394
Indiana,Vanderburgh,2012,191,11.01589825,983
Indiana,Allen,2013,124,9.610861666666667,1122
Indiana,Delaware,2013,42,9.752101,416
Indiana,Lake,2013,209,11.231954,274
Indiana,Marion,2013,254,11.813486875,2212
Indiana,Monroe,2013,65,8.7343255,219
Indiana,St. Joseph,2013,189,10.598815,225
Indiana,Tippecanoe,2013,195,10.75965075,366
Indiana,Vanderburgh,2013,157,10.6497816,849
Indiana,Allen,2014,170,11.443007,1021
Indiana,Delaware,2014,36,10.261864,352
Indiana,Hamilton,2014,98,10.182261,83
Indiana,Lake,2014,240,12.177615874999999,276
Indiana,Marion,2014,231,12.239722666666667,1889
Indiana,Monroe,2014,72,9.223315,229
Indiana,St. Joseph,2014,143,10.784233333333333,171
Indiana,Tippecanoe,2014,88,9.813180000000001,294
Indiana,Vanderburgh,2014,186,11.519806,734
Indiana,Allen,2015,122,10.571007333333334,1179
Indiana,Delaware,2015,33,8.904348,349
Indiana,Hamilton,2015,87,8.8866815,77
Indiana,Lake,2015,155,10.496989428571428,465
Indiana,Marion,2015,188,10.975412777777779,1800
Indiana,Monroe,2015,53,8.012502999999999,193
Indiana,St. Joseph,2015,135,10.490974333333334,308
Indiana,Tippecanoe,2015,94,9.404194333333333,271
Indiana,Vanderburgh,2015,151,10.3173168,867
Indiana,Allen,2016,94,8.360152666666666,1680
Indiana,Delaware,2016,38,7.713934,510
Indiana,Hamilton,2016,88,8.5016455,143
Indiana,Lake,2016,108,8.84635342857143,482
Indiana,Marion,2016,160,9.717540399999999,2567
Indiana,Monroe,2016,16,6.69515,185
Indiana,St. Joseph,2016,106,8.717085666666668,381
Indiana,Tippecanoe,2016,42,7.549539,456
Indiana,Vanderburgh,2016,93,8.85936525,1127
Indiana,Allen,2017,86,8.151872000000001,1628
Indiana,Delaware,2017,42,7.689565,646
Indiana,Hamilton,2017,63,7.664388499999999,166
Indiana,Lake,2017,109,8.834713857142857,467
Indiana,Marion,2017,146,9.4246282,3300
Indiana,Monroe,2017,25,6.886439,327
Indiana,St. Joseph,2017,92,8.101114,346
Indiana,Tippecanoe,2017,67,8.210776333333333,579
Indiana,Vanderburgh,2017,82,8.58330825,1168
Indiana,Allen,2018,107,8.721547000000001,1329
Indiana,Delaware,2018,41,8.366667,352
Indiana,Hamilton,2018,73,8.2110365,89
Indiana,Lake,2018,148,9.770985111111111,451
Indiana,Marion,2018,173,10.1241355,2139
Indiana,Monroe,2018,80,8.809845,193
Indiana,St. Joseph,2018,117,8.788996666666666,254
Indiana,Tippecanoe,2018,60,8.507675666666666,333
Indiana,Vanderburgh,2018,104,9.05415025,853
Indiana,Allen,2019,103,8.94051,1180
Indiana,Delaware,2019,33,8.335,376
Indiana,Hamilton,2019,97,9.2344905,117
Indiana,Lake,2019,140,9.5722329,398
Indiana,Marion,2019,212,10.2572319,1786
Indiana,Monroe,2019,50,7.3827315,163
Indiana,St. Joseph,2019,89,8.087715,259
Indiana,Tippecanoe,2019,67,8.776353,379
Indiana,Vanderburgh,2019,69,8.270670333333333,799
