COUNTY,YEAR,Hosp_Count,STATE
Allen,2010,817,Indiana
Delaware,2010,339,Indiana
Hamilton,2010,83,Indiana
Lake,2010,336,Indiana
Marion,2010,1848,Indiana
Monroe,2010,183,Indiana
St. Joseph,2010,245,Indiana
Tippecanoe,2010,449,Indiana
Vanderburgh,2010,784,Indiana
Allen,2011,927,Indiana
Delaware,2011,407,Indiana
Hamilton,2011,97,Indiana
Lake,2011,376,Indiana
Marion,2011,1968,Indiana
Monroe,2011,227,Indiana
St. Joseph,2011,257,Indiana
Tippecanoe,2011,378,Indiana
Vanderburgh,2011,1019,Indiana
Allen,2012,967,Indiana
Delaware,2012,438,Indiana
Hamilton,2012,88,Indiana
Lake,2012,335,Indiana
Marion,2012,2096,Indiana
Monroe,2012,258,Indiana
St. Joseph,2012,236,Indiana
Tippecanoe,2012,394,Indiana
Vanderburgh,2012,983,Indiana
Allen,2013,1122,Indiana
Delaware,2013,416,Indiana
Hamilton,2013,119,Indiana
Lake,2013,274,Indiana
Marion,2013,2212,Indiana
Monroe,2013,219,Indiana
St. Joseph,2013,225,Indiana
Tippecanoe,2013,366,Indiana
Vanderburgh,2013,849,Indiana
Allen,2014,1021,Indiana
Delaware,2014,352,Indiana
Hamilton,2014,83,Indiana
Lake,2014,276,Indiana
Marion,2014,1889,Indiana
Monroe,2014,229,Indiana
St. Joseph,2014,171,Indiana
Tippecanoe,2014,294,Indiana
Vanderburgh,2014,734,Indiana
Allen,2015,1179,Indiana
Delaware,2015,349,Indiana
Hamilton,2015,77,Indiana
Lake,2015,465,Indiana
Marion,2015,1800,Indiana
Monroe,2015,193,Indiana
St. Joseph,2015,308,Indiana
Tippecanoe,2015,271,Indiana
Vanderburgh,2015,867,Indiana
Allen,2016,1680,Indiana
Delaware,2016,510,Indiana
Hamilton,2016,143,Indiana
Lake,2016,482,Indiana
Marion,2016,2567,Indiana
Monroe,2016,185,Indiana
St. Joseph,2016,381,Indiana
Tippecanoe,2016,456,Indiana
Vanderburgh,2016,1127,Indiana
Allen,2017,1628,Indiana
Delaware,2017,646,Indiana
Hamilton,2017,166,Indiana
Lake,2017,467,Indiana
Marion,2017,3300,Indiana
Monroe,2017,327,Indiana
St. Joseph,2017,346,Indiana
Tippecanoe,2017,579,Indiana
Vanderburgh,2017,1168,Indiana
Allen,2018,1329,Indiana
Delaware,2018,352,Indiana
Hamilton,2018,89,Indiana
Lake,2018,451,Indiana
Marion,2018,2139,Indiana
Monroe,2018,193,Indiana
St. Joseph,2018,254,Indiana
Tippecanoe,2018,333,Indiana
Vanderburgh,2018,853,Indiana
Allen,2019,1180,Indiana
Delaware,2019,376,Indiana
Hamilton,2019,117,Indiana
Lake,2019,398,Indiana
Marion,2019,1786,Indiana
Monroe,2019,163,Indiana
St. Joseph,2019,259,Indiana
Tippecanoe,2019,379,Indiana
Vanderburgh,2019,799,Indiana
