X1,X2,X3,X4,X5,X6,X7,X8,X9
HOSPID,PAYOR1,DIAG1,PATS,PWC,TD,TC,XC,XD
HOSPID,PAYOR1,DIAG1,PATS,PWC,TD,TC,XC,XD
HOSPID,PAYOR1,DIAG1,PATS,PWC,TD,TC,XC,XD
HOSPID,PAYOR1,DIAG1,PATS,PWC,TD,TC,XC,XD
HOSPITAL_ID,PAYOR1,DIAGNOSIS_1,PATS,PWC,TD,TC,XC,XD
HOSPITAL_ID,PAYOR1,DIAGNOSIS_1,PATS,PWC,TD,TC,XC,XD
HOSPITAL_ID,PAYOR1,DIAGNOSIS_1,PATS,PWC,TD,TC,XC,XD
HOSPITAL_ID,PAYER1,DIAGNOSIS_1,PATS,PWC,TD,TC,XC,XD
HOSPITAL_ID,PAYOR1,DIAGNOSIS_1,PATS,PWC,TD,TC,XC,XD
HOSPITAL_ID,PAYOR1,DIAGNOSIS_1,PATS,PWC,TD,TC,XC,XD
